,age_group
1605,Adult
189,Adult
206,Adult
805,Senior
891,Adult
5,Adult
1582,Adult
2137,Adult
602,Adult
1565,Senior
1845,Adult
420,Adult
779,Adult
798,Adult
1009,Adult
1727,Adult
2013,Adult
956,Adult
630,Adult
2212,Senior
1390,Senior
1387,Adult
1518,Adult
1480,Adult
878,Adult
2081,Adult
712,Adult
1932,Adult
50,Adult
1303,Adult
1943,Adult
2090,Adult
2135,Adult
2054,Senior
1673,Adult
1621,Adult
2060,Adult
1227,Adult
1064,Adult
1826,Senior
216,Adult
937,Adult
31,Adult
131,Adult
1619,Adult
2067,Adult
1067,Senior
66,Adult
785,Adult
2159,Adult
266,Adult
803,Adult
1446,Adult
493,Adult
204,Adult
1416,Adult
1988,Adult
1256,Adult
1709,Senior
270,Adult
809,Adult
1399,Adult
2180,Senior
1408,Adult
1654,Adult
706,Adult
260,Adult
1680,Adult
1533,Adult
86,Adult
1634,Senior
1915,Adult
1268,Adult
775,Adult
478,Adult
960,Adult
1014,Adult
2083,Adult
54,Senior
114,Adult
914,Adult
594,Adult
1306,Adult
621,Senior
312,Adult
1799,Senior
1448,Senior
1907,Adult
811,Adult
218,Senior
1848,Adult
645,Adult
1005,Adult
1411,Adult
450,Adult
1215,Adult
2105,Adult
928,Adult
1563,Adult
397,Adult
533,Senior
1640,Adult
1849,Adult
627,Adult
865,Adult
923,Adult
856,Adult
2016,Adult
671,Adult
1528,Adult
42,Adult
1622,Adult
277,Adult
372,Adult
112,Adult
147,Adult
2096,Adult
226,Adult
178,Senior
1721,Adult
995,Senior
1185,Adult
336,Adult
1769,Adult
1000,Adult
1366,Adult
2026,Adult
309,Adult
301,Adult
1102,Adult
1821,Adult
306,Adult
953,Adult
547,Adult
261,Adult
565,Adult
357,Senior
1614,Senior
1144,Adult
1361,Adult
1394,Adult
320,Adult
1142,Senior
615,Adult
1600,Adult
965,Adult
1351,Adult
1917,Senior
850,Adult
115,Senior
20,Adult
1705,Adult
87,Adult
1077,Adult
382,Adult
444,Adult
520,Adult
30,Adult
1236,Adult
1349,Adult
2051,Adult
972,Adult
610,Adult
543,Adult
1015,Senior
475,Adult
252,Adult
1304,Adult
582,Adult
0,Adult
820,Adult
1575,Senior
315,Adult
1050,Adult
1330,Adult
1059,Adult
1200,Adult
1723,Adult
61,Adult
1905,Adult
689,Adult
842,Adult
522,Adult
2094,Adult
1011,Adult
926,Adult
1773,Adult
1251,Adult
2172,Adult
1971,Adult
1339,Adult
154,Adult
2147,Adult
368,Senior
129,Adult
1298,Adult
1610,Adult
611,Adult
566,Adult
797,Adult
394,Adult
1201,Senior
680,Adult
1540,Adult
203,Senior
1335,Adult
1026,Adult
1342,Adult
296,Adult
1341,Adult
767,Adult
1316,Adult
2071,Adult
1722,Senior
502,Adult
186,Adult
1250,Adult
1929,Adult
2012,Adult
1317,Adult
2111,Adult
468,Adult
2103,Adult
1035,Adult
2062,Adult
156,Adult
835,Adult
1129,Adult
903,Senior
319,Adult
2046,Adult
1413,Adult
1191,Adult
210,Senior
489,Adult
297,Adult
1386,Adult
776,Senior
257,Adult
1570,Adult
374,Adult
1075,Adult
912,Adult
870,Adult
1526,Adult
2057,Adult
1842,Adult
1657,Adult
1016,Adult
1937,Adult
1805,Adult
1718,Adult
1728,Adult
1623,Adult
2211,Adult
2186,Adult
646,Adult
1055,Adult
1217,Adult
2199,Adult
1483,Adult
525,Adult
1404,Adult
1174,Adult
1852,Adult
895,Adult
1740,Adult
1742,Adult
1275,Adult
483,Adult
561,Adult
1930,Adult
134,Adult
1392,Adult
1684,Adult
157,Adult
1482,Adult
471,Adult
15,Senior
944,Adult
1484,Adult
1074,Adult
1569,Senior
1672,Adult
1187,Senior
130,Adult
814,Adult
486,Adult
1066,Adult
1057,Adult
991,Adult
249,Adult
1020,Adult
1921,Adult
196,Adult
1739,Adult
1113,Adult
1947,Adult
976,Adult
764,Adult
136,Senior
482,Adult
233,Adult
1224,Adult
1585,Adult
715,Adult
756,Adult
